product_id,category,popularity,date
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,1.9,15-02-2021
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,3.6,01-09-2019
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,1.7,22-11-2013
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,2,11-01-2020
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,3.9,13-01-2022
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,2.1,09-08-2015
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,2.9,21-12-2014
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,2.1,16-04-2019
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,4.9,22-08-2014
Altec Jacket H2O 10 W Portable Bluetooth Speaker,Electronics,3.5,22-04-2014
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,1.5,01-05-2020
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,4.5,11-12-2014
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,1.5,29-09-2020
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,3.7,24-06-2023
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,1.5,26-04-2019
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,2,31-03-2014
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,2.3,18-07-2016
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,1.5,14-08-2016
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,3.8,01-08-2014
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),Electronics,1.9,25-01-2018
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,2.6,16-08-2015
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,2.4,27-10-2020
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,2.1,13-03-2021
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,3.1,15-05-2018
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,4.4,10-09-2017
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,3.1,13-11-2015
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,1.1,11-11-2016
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,1.6,26-04-2018
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,4.3,19-01-2019
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Space Grey),Electronics,3,05-11-2021
APPLE iPhone 12 (Blue 128 GB),Electronics,2.6,14-06-2019
APPLE iPhone 12 (Blue 128 GB),Electronics,3.4,25-01-2023
APPLE iPhone 12 (Blue 128 GB),Electronics,1.5,26-11-2019
APPLE iPhone 12 (Blue 128 GB),Electronics,1.4,16-02-2022
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,3.5,23-10-2022
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,4.2,21-03-2022
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,5,01-12-2016
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,4.4,12-12-2021
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,3.9,11-03-2022
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,4.7,07-05-2022
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,4.4,24-10-2016
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,3.5,04-11-2021
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,1.3,12-01-2019
APPLE iPhone 6s Plus (Rose Gold 64 GB),Electronics,3,10-02-2014
APPLE iPhone SE (Black 256 GB),Electronics,1.2,26-05-2017
APPLE iPhone SE (Black 256 GB),Electronics,3.6,26-04-2022
APPLE iPhone SE (Black 256 GB),Electronics,4.4,18-12-2019
APPLE iPhone SE (Black 256 GB),Electronics,3.2,12-11-2015
APPLE iPhone SE (Black 256 GB),Electronics,1.9,21-05-2023
APPLE iPhone SE (Black 256 GB),Electronics,3.4,26-08-2021
APPLE iPhone SE (Black 256 GB),Electronics,1.4,04-07-2018
